entry_id	md5sum	file_name	dataset	dimension	published_value	inferred_value	recommendation	published_in_vocabulary
0ec99e09-4427-4b22-9534-24b8f980c43a	20575b7f7496eefaab8f2efb5c9c52e8	KDM5A-BGRSLV04-13_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
0d38e903-c730-4830-b36b-6e98992a7f07	0c3cb0fa92c8126cbf4563b703b59d50	ZMAT5-BGRSDLV02-67dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
0eba41b6-6887-426b-a95e-6cccfffc736c	f1ca3a6ddc84e6ce6d685bf21827588b	MBNL1-BGRSDLV03-27dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
10fade65-264c-45e9-8127-46f64250849d	c99264b946c41e2646f96f866a2ff3fe	CPSF4-BGRSLV03-17_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
0e131bd4-d32b-41e0-b37e-5286bb014a02	964ec6be616904b94b3e5a6e161af85e	IGHMBP2-BGRSDLV02-38_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
11fc3ece-323d-432d-86af-6ced34689547	765271ca74b236e040c743061ad46544	ZNF317-BGRSLV03-61_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
1147767b-6613-417c-bf9d-872b0113367f	805f8fea248a4be2c7c192200b0f1af8	NT-BGRSDTLV02-4doxtot_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
0f51b19f-3085-4ac0-b5ac-38d141919ec7	25e3a74817988b957ca2afabde1c5054	CXXC1-BGRSLV03-20_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
116642e7-69ca-4d5e-b22f-22fba1c62c96	4d7f72ff61a1598d81cdaa4672856b52	ZMAT5-BGRSDLV02-66_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
13d7b9d0-a2b1-4980-b954-0c6b425607f3	0a36266efad928c437d0e4a95f5cdcf2	TEX13A-BGRSDLV04-90_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
13e464e4-5082-411f-b624-0fdd37ae089b	9edd39739f1617337a58c6f41b30f718	TEX13A-BGRSDLV04-89_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
162ad6ff-04de-407e-85db-5ff6670b1eeb	a82c52b141bbfa27567ebc9fa6271b38	ZNF277-BGRSDLV02-75dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
1460cc7e-43d7-4bcd-b61a-2e56bec329f6	cd9d4e3ef22378eea81c72c2d902d7a4	GTF3C4-BGRSDLV02-34_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
15a4fecf-968c-4e46-bddb-cc29cf70126f	955e96b63b6e534e3e99be6d5ce2ca6e	PHF7-BGRSLV04-36_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
17956796-5788-4f5d-a42a-5396bf626b80	7e8432bcc535883fe7daf01f12a9463f	RNF41-BGRSLV04-53_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
16c63482-396c-4e49-9d9a-81c93ab58884	d327c61e6ecf191e76e699a429e04622	ZCRB1-BGRSLV05-55_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
1799c296-2df0-4ac8-80f8-a300808c44ee	5ab134bb35570afdfb0a4befa8350568	ZCCHC24-BGRSLV08-9_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
168d3fef-4540-43df-b811-8db78a42837d	2343eea6740a89e790f70b2dcfa5621c	ZNF593-BGRSDLV04-68dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
1747ee53-f5da-4a27-9b0f-a04b58c6929e	d24af6928b5dd4d6a8fe851e27814259	G2E3-BGRSDLV02-25_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
